Precinct,Registered_Voters,Absentee_TaylorRehmet,Early_TaylorRehmet,Election_TaylorRehmet,TotalVotes_TaylorRehmet,Absentee_LeighWambsganss,Early_LeighWambsganss,Election_LeighWambsganss,TotalVotes_LeighWambsganss,TotalVotesAll,VTD,CountyFIPS,County,CNTY,CNTYVTD,VTDKEY,total,anglo,nanglo,asian,black,hisp,bh,vap,anglovap,nanglovap,asianvap,blackvap,hispvap,bhvap,Winner,pct_hisp,Rehmet_Pct,Wambsganss_Pct,Vote_Margin_Pct,pct_nonwhite
1001,1940,3,99,98,200,1,43,45,89,289,1001,439,TARRANT,439,2201001,7895,2240,1367,873,98,377,341,702,2026,1302,724,86,306,276,571,Taylor Rehmet,0.15223214285714284,69.20415224913495,30.79584775086505,38.4083044982699,0.38973214285714286
1005,942,3,21,51,75,0,1,2,3,78,1005,439,TARRANT,439,2201005,7897,1471,65,1406,20,791,595,1378,1037,56,981,17,578,381,955,Taylor Rehmet,0.4044867437117607,96.15384615384616,3.8461538461538463,92.30769230769232,0.95581237253569
1008,314,1,12,24,37,0,0,6,6,43,1008,439,TARRANT,439,2201008,7898,589,40,549,10,184,356,536,421,38,383,7,147,227,371,Taylor Rehmet,0.6044142614601019,86.04651162790698,13.953488372093023,72.09302325581396,0.9320882852292021
1010,698,1,0,20,21,0,2,0,2,23,1010,439,TARRANT,439,2201010,7900,1424,271,1153,19,423,704,1109,1087,242,845,12,337,478,805,Taylor Rehmet,0.4943820224719101,91.30434782608695,8.695652173913043,82.6086956521739,0.8096910112359551
1011,1134,3,19,45,67,0,2,3,5,72,1011,439,TARRANT,439,2201011,7901,3175,211,2964,60,492,2422,2891,2255,195,2060,51,370,1634,1999,Taylor Rehmet,0.7628346456692914,93.05555555555556,6.944444444444445,86.11111111111111,0.9335433070866141
1015,1188,3,68,72,143,0,3,15,18,161,1015,439,TARRANT,439,2201015,7905,2077,699,1378,68,112,1173,1269,1687,623,1064,60,83,900,976,Taylor Rehmet,0.5647568608570053,88.81987577639751,11.180124223602485,77.63975155279502,0.6634569090033703
1019,798,1,9,47,57,0,1,5,6,63,1019,439,TARRANT,439,2201019,7906,2162,265,1897,14,205,1669,1860,1524,224,1300,14,166,1110,1264,Taylor Rehmet,0.7719703977798335,90.47619047619048,9.523809523809524,80.95238095238096,0.8774283071230342
1056,1281,2,2,1,5,0,0,1,1,6,1056,439,TARRANT,439,2201056,7913,1771,610,1161,23,863,227,1074,1506,587,919,15,672,178,840,Taylor Rehmet,0.1281761716544325,83.33333333333334,16.666666666666664,66.66666666666669,0.655561829474873
1059,860,1,18,38,57,0,0,5,5,62,1059,439,TARRANT,439,2201059,7914,1572,175,1397,195,539,676,1197,1091,155,936,98,403,437,832,Taylor Rehmet,0.4300254452926209,91.93548387096774,8.064516129032258,83.87096774193549,0.888676844783715
1061,479,2,12,13,27,0,1,4,5,32,1061,439,TARRANT,439,2201061,7915,641,62,579,18,242,314,549,444,51,393,14,174,200,373,Taylor Rehmet,0.48985959438377535,84.375,15.625,68.75,0.9032761310452418
