Precinct,Registered_Voters,Absentee_TaylorRehmet,Early_TaylorRehmet,Election_TaylorRehmet,TotalVotes_TaylorRehmet,Absentee_LeighWambsganss,Early_LeighWambsganss,Election_LeighWambsganss,TotalVotes_LeighWambsganss,TotalVotesAll,VTD,CountyFIPS,County,CNTY,CNTYVTD,VTDKEY,total,anglo,nanglo,asian,black,hisp,bh,vap,anglovap,nanglovap,asianvap,blackvap,hispvap,bhvap,Winner,Rehmet_Pct,Wambsganss_Pct,pct_hisp
1008,314,1,12,24,37,0,0,6,6,43,1008,439,TARRANT,439,2201008,7898,589,40,549,10,184,356,536,421,38,383,7,147,227,371,Taylor Rehmet,86.04651162790698,13.953488372093023,0.6044142614601019
1011,1134,3,19,45,67,0,2,3,5,72,1011,439,TARRANT,439,2201011,7901,3175,211,2964,60,492,2422,2891,2255,195,2060,51,370,1634,1999,Taylor Rehmet,93.05555555555556,6.944444444444445,0.7628346456692914
1015,1188,3,68,72,143,0,3,15,18,161,1015,439,TARRANT,439,2201015,7905,2077,699,1378,68,112,1173,1269,1687,623,1064,60,83,900,976,Taylor Rehmet,88.81987577639751,11.180124223602485,0.5647568608570053
1019,798,1,9,47,57,0,1,5,6,63,1019,439,TARRANT,439,2201019,7906,2162,265,1897,14,205,1669,1860,1524,224,1300,14,166,1110,1264,Taylor Rehmet,90.47619047619048,9.523809523809524,0.7719703977798335
1066,985,2,29,49,80,0,5,14,19,99,1066,439,TARRANT,439,2201066,7918,2444,511,1933,66,497,1369,1843,1776,452,1324,55,381,879,1244,Taylor Rehmet,80.8080808080808,19.19191919191919,0.5601472995090017
1075,1050,1,14,37,52,0,3,3,6,58,1075,439,TARRANT,439,2201075,7921,2626,260,2366,28,313,2021,2313,1859,219,1640,16,264,1364,1613,Taylor Rehmet,89.65517241379311,10.344827586206897,0.7696115765422696
1082,684,2,31,43,76,0,4,9,13,89,1082,439,TARRANT,439,2201082,7927,1633,349,1284,66,90,1116,1194,1200,290,910,51,46,789,834,Taylor Rehmet,85.39325842696628,14.606741573033707,0.683404776484997
1088,1357,1,18,50,69,0,9,6,15,84,1088,439,TARRANT,439,2201088,7931,3747,264,3483,36,456,2973,3411,2595,225,2370,28,341,1974,2306,Taylor Rehmet,82.14285714285714,17.857142857142858,0.7934347477982386
1109,1611,3,48,107,158,1,10,21,32,190,1109,439,TARRANT,439,2201109,7943,3437,668,2769,117,185,2431,2609,2598,608,1990,92,147,1716,1857,Taylor Rehmet,83.15789473684211,16.842105263157894,0.70730288041897
1198,595,0,10,27,37,0,0,8,8,45,1198,439,TARRANT,439,2201198,7968,1507,295,1212,73,54,1073,1125,1071,250,821,53,32,725,755,Taylor Rehmet,82.22222222222221,17.77777777777778,0.7120106171201062
1408,284,0,6,15,21,0,0,3,3,24,1408,439,TARRANT,439,2201408,8020,372,128,244,7,15,204,219,311,113,198,5,12,169,181,Taylor Rehmet,87.5,12.5,0.5483870967741935
1415,1760,1,25,68,94,1,4,16,21,115,1415,439,TARRANT,439,2201415,8023,5020,545,4475,116,1609,2735,4283,3461,482,2979,85,1127,1713,2823,Taylor Rehmet,81.73913043478261,18.26086956521739,0.5448207171314741
1473,355,0,7,16,23,0,4,1,5,28,1473,439,TARRANT,439,2201473,8046,382,73,309,7,6,293,298,260,59,201,6,4,189,192,Taylor Rehmet,82.14285714285714,17.857142857142858,0.7670157068062827
1476,150,0,4,10,14,0,0,0,0,14,1476,439,TARRANT,439,2201476,8047,360,61,299,4,16,282,294,247,57,190,2,12,175,185,Taylor Rehmet,100.0,0.0,0.7833333333333333
1479,277,0,8,10,18,0,2,1,3,21,1479,439,TARRANT,439,2201479,8049,507,69,438,10,87,341,420,368,62,306,10,77,217,289,Taylor Rehmet,85.71428571428571,14.285714285714285,0.6725838264299803
1544,11,0,0,0,0,0,0,0,0,0,1544,439,TARRANT,439,2201544,8061,26,5,21,0,0,20,20,23,5,18,0,0,17,17,Tie,0,0,0.7692307692307693
1550,40,0,2,0,2,0,0,0,0,2,1550,439,TARRANT,439,2201550,8064,73,3,70,1,22,47,69,45,3,42,0,16,25,41,Taylor Rehmet,100.0,0.0,0.6438356164383562
1611,21,0,1,1,2,0,0,2,2,4,1611,439,TARRANT,439,2201611,8080,36,9,27,0,0,27,27,26,4,22,0,0,22,22,Tie,50.0,50.0,0.75
1617,40,0,2,3,5,0,0,2,2,7,1617,439,TARRANT,439,2201617,8081,88,28,60,0,3,48,51,68,26,42,0,2,31,33,Taylor Rehmet,71.42857142857143,28.57142857142857,0.5454545454545454
