Precinct,Registered_Voters_x,Absentee_TaylorRehmet,Early_TaylorRehmet,Election_TaylorRehmet,TotalVotes_TaylorRehmet,Absentee_LeighWambsganss,Early_LeighWambsganss,Election_LeighWambsganss,TotalVotes_LeighWambsganss,TotalVotesAll_x,VTD,CountyFIPS,County,CNTY,CNTYVTD,VTDKEY,total,anglo,nanglo,asian,black,hisp,bh,vap,anglovap,nanglovap,asianvap,blackvap,hispvap,bhvap,Winner,Rehmet_Pct,Wambsganss_Pct,Registered_Voters_y,Absentee_KellyHancock,Early_KellyHancock,Election_KellyHancock,TotalVotes_KellyHancock,Absentee_GwennBurud,Early_GwennBurud,Election_GwennBurud,TotalVotes_GwennBurud,TotalVotesAll_y,Hancock_Pct,Burud_Pct,Margin_2026,Margin_2022,Margin_Shift,Dem_Vote_Change
1001,1940,3,99,98,200,1,43,45,89,289,1001,439,TARRANT,439,2201001,7895,2240,1367,873,98,377,341,702,2026,1302,724,86,306,276,571,Taylor Rehmet,69.20415224913495,30.79584775086505,1874,8,309,147,464,19,333,126,478,942,49.25690021231423,50.74309978768577,38.4083044982699,1.4861995753715433,36.922104922898356,18.461052461449178
1005,942,3,21,51,75,0,1,2,3,78,1005,439,TARRANT,439,2201005,7897,1471,65,1406,20,791,595,1378,1037,56,981,17,578,381,955,Taylor Rehmet,96.15384615384616,3.8461538461538463,818,0,7,7,14,8,153,87,248,262,5.343511450381679,94.65648854961832,92.30769230769232,89.31297709923663,2.9947152084556876,1.4973576042278438
1008,314,1,12,24,37,0,0,6,6,43,1008,439,TARRANT,439,2201008,7898,589,40,549,10,184,356,536,421,38,383,7,147,227,371,Taylor Rehmet,86.04651162790698,13.953488372093023,303,0,3,13,16,2,52,35,89,105,15.238095238095239,84.76190476190476,72.09302325581396,69.52380952380952,2.5692137320044424,1.2846068660022212
1010,698,1,0,20,21,0,2,0,2,23,1010,439,TARRANT,439,2201010,7900,1424,271,1153,19,423,704,1109,1087,242,845,12,337,478,805,Taylor Rehmet,91.30434782608695,8.695652173913043,486,0,15,16,31,1,37,33,71,102,30.392156862745097,69.6078431372549,82.6086956521739,39.21568627450981,43.3930093776641,21.69650468883205
1011,1134,3,19,45,67,0,2,3,5,72,1011,439,TARRANT,439,2201011,7901,3175,211,2964,60,492,2422,2891,2255,195,2060,51,370,1634,1999,Taylor Rehmet,93.05555555555556,6.944444444444445,1107,0,19,14,33,9,117,90,216,249,13.253012048192772,86.74698795180723,86.11111111111111,73.49397590361446,12.61713520749666,6.30856760374833
1015,1188,3,68,72,143,0,3,15,18,161,1015,439,TARRANT,439,2201015,7905,2077,699,1378,68,112,1173,1269,1687,623,1064,60,83,900,976,Taylor Rehmet,88.81987577639751,11.180124223602485,1229,5,73,96,174,7,170,133,310,484,35.9504132231405,64.0495867768595,77.63975155279502,28.099173553718998,49.54057799907602,24.77028899953801
1019,798,1,9,47,57,0,1,5,6,63,1019,439,TARRANT,439,2201019,7906,2162,265,1897,14,205,1669,1860,1524,224,1300,14,166,1110,1264,Taylor Rehmet,90.47619047619048,9.523809523809524,802,0,38,37,75,6,49,72,127,202,37.12871287128713,62.87128712871287,80.95238095238096,25.742574257425744,55.20980669495522,27.60490334747761
1056,1281,2,2,1,5,0,0,1,1,6,1056,439,TARRANT,439,2201056,7913,1771,610,1161,23,863,227,1074,1506,587,919,15,672,178,840,Taylor Rehmet,83.33333333333334,16.666666666666664,1684,0,15,10,25,7,45,26,78,103,24.271844660194176,75.72815533980582,66.66666666666669,51.45631067961165,15.210355987055038,7.605177993527519
1059,860,1,18,38,57,0,0,5,5,62,1059,439,TARRANT,439,2201059,7914,1572,175,1397,195,539,676,1197,1091,155,936,98,403,437,832,Taylor Rehmet,91.93548387096774,8.064516129032258,757,1,17,34,52,6,109,73,188,240,21.666666666666668,78.33333333333333,83.87096774193549,56.66666666666666,27.20430107526883,13.602150537634415
1061,479,2,12,13,27,0,1,4,5,32,1061,439,TARRANT,439,2201061,7915,641,62,579,18,242,314,549,444,51,393,14,174,200,373,Taylor Rehmet,84.375,15.625,348,1,6,15,22,5,27,60,92,114,19.298245614035086,80.7017543859649,68.75,61.40350877192982,7.346491228070178,3.673245614035096
